,Date,High,Low,Open,Price
1965,2012-10-05,"1,796.19","1,772.84","1,790.79","1,780.98"
1966,2012-10-04,"1,796.90","1,779.19","1,779.19","1,790.55"
1967,2012-10-03,"1,782.31","1,771.00","1,774.10","1,779.15"
1968,2012-10-02,"1,784.81","1,771.57","1,776.40","1,778.00"
1969,2012-10-01,"1,791.81","1,763.55","1,771.20","1,774.40"
1970,2012-09-28,"1,783.63","1,767.53","1,777.72","1,771.22"
1971,2012-09-27,"1,780.81","1,751.36","1,754.90","1,777.90"
1972,2012-09-26,"1,766.01","1,738.11","1,760.50","1,752.20"
1973,2012-09-25,"1,775.51","1,758.41","1,764.26","1,760.65"
1974,2012-09-24,"1,773.39","1,755.80","1,773.39","1,764.15"
1975,2012-09-21,"1,787.81","1,766.40","1,767.30","1,773.05"
1976,2012-09-20,"1,772.50","1,756.10","1,769.85","1,766.70"
1977,2012-09-19,"1,768.35","1,765.65","1,769.85","1,769.80"
1978,2012-09-18,"1,773.61","1,752.95","1,761.55","1,770.95"
1979,2012-09-17,"1,776.76","1,754.59","1,774.74","1,761.45"
1980,2012-09-14,"1,778.01","1,765.04","1,766.44","1,772.48"
1981,2012-09-13,"1,772.87","1,717.25","1,730.65","1,766.90"
1982,2012-09-12,"1,746.70","1,725.79","1,732.54","1,731.50"
1983,2012-09-11,"1,737.91","1,725.45","1,726.10","1,731.75"
1984,2012-09-10,"1,740.26","1,724.91","1,735.85","1,725.80"
1985,2012-09-07,"1,741.80","1,689.20","1,701.94","1,736.50"
1986,2012-09-06,"1,713.52","1,691.65","1,693.45","1,701.65"
1987,2012-09-05,"1,696.37","1,687.65","1,695.05","1,693.65"
1988,2012-09-04,"1,700.45","1,689.96","1,692.99","1,696.40"
1989,2012-09-03,"1,695.61","1,685.70","1,692.20","1,692.40"
1990,2012-08-31,"1,693.32","1,647.34","1,656.15","1,691.15"
1991,2012-08-30,"1,664.51","1,651.80","1,656.55","1,656.15"
1992,2012-08-29,"1,670.15","1,652.97","1,667.25","1,656.55"
1993,2012-08-28,"1,672.70","1,657.44","1,663.44","1,667.03"
1994,2012-08-27,"1,676.95","1,663.09","1,671.44","1,664.10"
1995,2012-08-24,"1,673.81","1,662.79","1,670.14","1,670.35"
1996,2012-08-23,"1,675.41","1,652.41","1,654.00","1,670.65"
1997,2012-08-22,"1,656.41","1,634.87","1,638.20","1,654.00"
1998,2012-08-21,"1,641.81","1,618.66","1,620.55","1,638.50"
1999,2012-08-20,"1,623.01","1,610.20","1,616.26","1,620.70"
2000,2012-08-17,"1,620.10","1,611.90","1,614.44","1,615.80"
2001,2012-08-16,"1,618.99","1,600.79","1,604.14","1,614.80"
2002,2012-08-15,"1,606.40","1,590.19","1,598.64","1,603.38"
2003,2012-08-14,"1,616.81","1,594.71","1,610.16","1,598.65"
2004,2012-08-13,"1,625.82","1,607.71","1,620.35","1,610.15"
2005,2012-08-10,"1,626.56","1,605.70","1,617.64","1,620.05"
2006,2012-08-09,"1,618.72","1,609.85","1,612.10","1,617.70"
2007,2012-08-08,"1,617.01","1,603.55","1,611.29","1,611.90"
2008,2012-08-07,"1,618.41","1,609.09","1,610.99","1,611.18"
